,names,nationality
1295,Barnett,old-english
1296,Beacher,old-english
1297,Beardsley,old-english
1298,Bede,old-english
1299,Beldon,old-english
1300,Bentley,old-english
1301,Birch,old-english
1302,Blake,old-english
1303,Booker,old-english
1304,Booth,old-english
1305,Borden,old-english
1306,Bradley,old-english
1307,Brandon,old-english
1308,Brent,old-english
1309,Brewster,old-english
1310,Brigham,old-english
1311,Brinley,old-english
1312,Brock,old-english
1313,Bromley,old-english
1314,Brook,old-english
1315,Buckley,old-english
1316,Bud,old-english
1317,Burgess,old-english
1318,Burne,old-english
1320,Afton,old-english
1321,Agrona,old-english
1322,Aida,old-english
1323,Aislinn,old-english
1324,Alcott,old-english
1325,Alden,old-english
1326,Alvina,old-english
1327,Arantxa,old-english
1328,Ariana,old-english
1329,Arleigh,old-english
1330,Ashley,old-english
1331,Aspen,old-english
1332,Audrey,old-english
1333,Avon,old-english
1334,Bailey,old-english
1335,Beverly,old-english
1336,Blaine,old-english
1337,Blossom,old-english
1338,Blythe,old-english
1339,Brea,old-english
1340,Brenda,old-english
1341,Brook,old-english
1342,Buffy,old-english
1343,Cady,old-english
1344,Cameron,old-english
1345,Chelsea,old-english
1346,Corliss,old-english
1347,Courtney,old-english
1348,Demelza,old-english
1349,Eartha,old-english
1350,Edda,old-english
1351,Edith,old-english
1352,Ethel,old-english
1353,Farrah,old-english
1354,Fern,old-english
1355,Fiona,old-english
1356,Godiva,old-english
1357,Golda,old-english
1358,Halsey,old-english
1359,Harmony,old-english
1360,Hazel,old-english
1361,Hedwig,old-english
1362,Hertha,old-english
1363,Hollace,old-english
1364,Holly,old-english
1365,Hope,old-english
1366,Idina,old-english
1367,Isolda,old-english
1368,Ivy,old-english
1369,Jocelyn,old-english
1370,Daeshim,korean
1371,Jintao,korean
1372,Seung,korean
1373,Yong-Sun,korean
1374,Young-Ja,korean
1375,Young-Jae,korean
1377,Cho,korean
1378,Chon,korean
1379,HeeWon,korean
1380,Jeong,korean
1381,Joo Mi,korean
1382,Min,korean
1383,Moon,korean
1384,Shin,korean
1385,Soo,korean
1386,Sun,korean
1387,Arjun,sanskrit
1388,Jackal,sanskrit
1389,Jafar,sanskrit
1390,Krishna,sanskrit
1391,Kumar,sanskrit
1392,Mahatma,sanskrit
1393,Nanda,sanskrit
1394,Nataraj,sanskrit
1395,Rajiv,sanskrit
1396,Uttam,sanskrit
1397,Vasu,sanskrit
1398,Veda,sanskrit
1399,Yogi,sanskrit
1401,Chandra,sanskrit
1402,Kalinda,sanskrit
1403,Kalpana,sanskrit
1404,Kama,sanskrit
1405,Karma,sanskrit
1406,Kashmir,sanskrit
1407,Leelea,sanskrit
1408,Lilac,sanskrit
1409,Malika,sanskrit
1410,Manjusha,sanskrit
1411,Nalini,sanskrit
1412,Opal,sanskrit
1413,Shobha,sanskrit
1414,Sitara,sanskrit
1415,Taruna,sanskrit
1416,Deion,african-american
1417,Deiondre,african-american
1418,Dele,african-american
1419,Denzel,african-american
1420,Dewayne,african-american
1421,Dikembe,african-american
1422,Duante,african-american
1423,Jamar,african-american
1424,Jevonte,african-american
1425,Kadeem,african-american
1426,Kendis,african-american
1427,Kentay,african-american
1428,Keshawn,african-american
1429,Khalon,african-american
1430,Kofi,african-american
1431,Kwamin,african-american
1432,Kyan,african-american
1433,Kyrone,african-american
1434,La Vonn,african-american
1435,Lado,african-american
1436,Laken,african-american
1437,Lakista,african-american
1438,Lamech,african-american
1439,Lavaughn,african-american
1440,LeBron,african-american
1441,Lisimba,african-american
1442,Ludacris,african-american
1443,Mablevi,african-american
1444,Marques,african-american
1445,Mashawn,african-american
1446,Montraie,african-american
1447,Mykelti,african-american
1448,Nabulung,african-american
1449,Naeem,african-american
1450,Napoleon,african-american
1451,Obiajulu,african-american
1452,Quaashie,african-american
1453,Quaddus,african-american
1454,Quadrees,african-american
1455,Quannell,african-american
1456,Quarren,african-american
1457,Quashawn,african-american
1458,Quintavius,african-american
1459,Quoitrel,african-american
1460,Raimy,african-american
1461,Rashon,african-american
1462,Razi,african-american
1463,Roshaun,african-american
1464,Runako,african-american
1465,Salim,african-american
1467,Beyonce,african-american
1468,Cassietta,african-american
1469,Cleotha,african-american
1470,Deiondre,african-american
1471,Dericia,african-american
1472,Gaynelle,african-american
1473,Kacondra,african-american
1474,Kanesha,african-american
1475,Keilantra,african-american
1476,Kendis,african-american
1477,Keshon,african-american
1478,Lachelle,african-american
1479,Lakin,african-american
1480,Lanelle,african-american
1481,Laquanna,african-american
1482,Laqueta,african-american
1483,Laquinta,african-american
1484,Lashawn,african-american
1485,Latanya,african-american
1486,Latonya,african-american
1487,Latoya,african-american
1488,Mekell,african-american
1489,Moesha,african-american
1490,Muncel,african-american
1491,Najwa,african-american
1492,Nakeisha,african-american
1493,Nichelle,african-american
1494,Niesha,african-american
1495,Quanella,african-american
1496,Quanesha,african-american
1497,Quisha,african-american
1498,Ranielle,african-american
1499,Ronnell,african-american
1500,Shandra,african-american
1501,Shaquana,african-american
1502,Shateque,african-american
1503,Sidone,african-american
1504,Talaitha,african-american
1505,Talisa,african-american
1506,Talisha,african-american
1507,Tamika,african-american
1508,Tamira,african-american
1509,Tamyra,african-american
1510,Tanasha,african-american
1511,Tandice,african-american
1512,Tanginika,african-american
1513,Taniel,african-american
1514,Tanisha,african-american
1515,Tariana,african-american
1516,Temima,african-american
1517,Aaron,hebrew
1518,Abbas,hebrew
1519,Abdiel,hebrew
1520,Abel,hebrew
1521,Abijah,hebrew
1522,Abner,hebrew
1523,Abraham,hebrew
1524,Abrahsa,hebrew
1525,Absolom,hebrew
1526,Acacio,hebrew
1527,Adalai,hebrew
1528,Adam,hebrew
1529,Adar,hebrew
1530,Addai,hebrew
1531,Adin,hebrew
1532,Adley,hebrew
1533,Admon,hebrew
1534,Adon,hebrew
1535,Agrippa,hebrew
1536,Ahab,hebrew
1537,Ahmik,hebrew
1538,Aitan,hebrew
1539,Akim,hebrew
1540,Alphaeus,hebrew
1541,Alphus,hebrew
1542,Alva,hebrew
1543,Amal,hebrew
1544,Amiel,hebrew
1545,Amon,hebrew
1546,Amos,hebrew
1547,Amram,hebrew
1548,Anath,hebrew
1549,Annas,hebrew
1550,Arel,hebrew
1551,Arion,hebrew
1552,Aristotle,hebrew
1553,Arnon,hebrew
1554,Asa,hebrew
1555,Asher,hebrew
1556,Asphar,hebrew
1557,Azariah,hebrew
1558,Barbaras,hebrew
1559,Barnabas,hebrew
1560,Bartholomew,hebrew
1561,Baruch,hebrew
1562,Bates,hebrew
1563,Bela,hebrew
1564,Benaiah,hebrew
1565,Benjamin,hebrew
1566,Benson,hebrew
1568,Aaliyah,hebrew
1569,Aari,hebrew
1570,Aase,hebrew
1571,Abbellonna,hebrew
1572,Abie,hebrew
1573,Abigail,hebrew
1574,Abira,hebrew
1575,Abital,hebrew
1576,Abra,hebrew
1577,Achazia,hebrew
1578,Ada,hebrew
1579,Adamina,hebrew
1580,Adena,hebrew
1581,Affera,hebrew
1582,Afra,hebrew
1583,Ahava,hebrew
1584,Ahmose,hebrew
1585,Akiva,hebrew
1586,Aliza,hebrew
1587,Alumit,hebrew
1588,Amissa,hebrew
1589,Anita,hebrew
1590,Ann,hebrew
1591,Apphia,hebrew
1592,Araminta,hebrew
1593,Arashel,hebrew
1594,Arella,hebrew
1595,Ariel,hebrew
1596,Arnon,hebrew
1597,Ascah,hebrew
1598,Asenath,hebrew
1599,Asenka,hebrew
1600,Asisa,hebrew
1601,Atara,hebrew
1602,Aviva,hebrew
1603,Ayala,hebrew
1604,Ayla,hebrew
1605,Ayn,hebrew
1606,Bara,hebrew
1607,Basha,hebrew
1608,Bathsheba,hebrew
1609,Becky,hebrew
1610,Bena,hebrew
1611,Beryl,hebrew
1612,Bess,hebrew
1613,Bethany,hebrew
1614,Bettina,hebrew
1615,Beulah,hebrew
1616,Bina,hebrew
1617,Bo,hebrew
1618,Balder,norse
1619,Dana,norse
1620,Freyr,norse
1621,Gareth,norse
1622,Haldor,norse
1623,Hardicanute,norse
1624,Hogarth,norse
1625,Holm,norse
1626,Hsin,norse
1627,Hume,norse
1628,Kelby,norse
1629,Ker,norse
1630,Lamont,norse
1631,Magne,norse
1632,Oda,norse
1633,Oddvar,norse
1634,Odin,norse
1635,Ove,norse
1636,Quimby,norse
1637,Ragnar,norse
1638,Sutherland,norse
1639,Terje,norse
1640,Thurston,norse
1641,Ulfred,norse
1642,Unni,norse
1643,Volund,norse
1644,Yongvar,norse
1646,Bo,norse
1647,Frigg,norse
1648,Grid,norse
1649,Gro,norse
1650,Guro,norse
1651,Haley,norse
1652,Heidrun,norse
1653,Hela,norse
1654,Magna,norse
1655,Oda,norse
1656,Ove,norse
1657,Ragnhild,norse
1658,Unni,norse
1659,An,chinese
1660,Bing,chinese
1661,Chen,chinese
1662,Chung,chinese
1663,Confucius,chinese
1664,Cong,chinese
1665,Deshi,chinese
1666,Dewei,chinese
1667,Fo-hai,chinese
1668,Fo-hsing,chinese
1669,Gan,chinese
1670,Gao,chinese
1671,Genjo,chinese
1672,Ho,chinese
1673,Hsin,chinese
1674,Huang fu,chinese
1675,Hui-chao,chinese
1676,HuiK'o,chinese
1677,Jiang,chinese
1678,Jin,chinese
1679,Jing,chinese
1680,Jun,chinese
1681,Kong,chinese
1682,Lao-Tzu,chinese
1683,Lee,chinese
1684,Lei,chinese
1685,Li,chinese
1686,Li-Liang,chinese
1687,Liang,chinese
1688,Liko,chinese
1689,Manchu,chinese
1690,Ming,chinese
1691,Niao-ka,chinese
1692,On,chinese
1693,Qing-Nan,chinese
1694,Quon,chinese
1695,Shen,chinese
1696,Shing,chinese
1697,Sun,chinese
1698,Tung,chinese
1699,Uang,chinese
1700,Wang,chinese
1701,Wen,chinese
1702,Woo,chinese
1703,Wu-pen,chinese
1704,Xi-Wang,chinese
1705,Xiaoping,chinese
1706,Xin,chinese
1707,Xing-fu,chinese
1708,Yao,chinese
1710,Ah lam,chinese
1711,An,chinese
1712,Bao,chinese
1713,Chen,chinese
1714,Chen-chio,chinese
1715,Chen-tao,chinese
1716,Chow,chinese
1717,Chu hua,chinese
1718,Chun,chinese
1719,Chyou,chinese
1720,Da-Shin,chinese
1721,Da-xia,chinese
1722,Fai,chinese
1723,Fang,chinese
1724,Fang hua,chinese
1725,Genji,chinese
1726,Guanyin,chinese
1727,Hua,chinese
1728,Hui fang,chinese
1729,Jing Wei,chinese
1730,Jun,chinese
1731,Kimora,chinese
1732,Le,chinese
1733,Lee,chinese
1734,Lei,chinese
1735,Li,chinese
1736,Li Hua,chinese
1737,Li Mei,chinese
1738,Li Ming,chinese
1739,Lian,chinese
1740,Lien,chinese
1741,Lin,chinese
1742,Ling,chinese
1743,Lixue,chinese
1744,Mee,chinese
1745,Mei,chinese
1746,Mingmei,chinese
1747,Quan,chinese
1748,Shu Fang,chinese
1749,Ting,chinese
1750,Ushi,chinese
1751,Xiang,chinese
1752,Xiao-Niao,chinese
1753,Xiao-Xing,chinese
1754,Xin,chinese
1755,Xiu Mei,chinese
1756,Yin,chinese
1757,Yu,chinese
1758,Zan,chinese
1759,Zhengqiu,chinese
1760,Juhani,finnish
1761,Jussi,finnish
1762,Kevat,finnish
1763,Miko,finnish
1764,Mustanen,finnish
1765,Vaino,finnish
1767,Kaija,finnish
1768,Kalle,finnish
1769,Louhi,finnish
1770,Preita,finnish
1771,Senja,finnish
1772,Tarja,finnish
1773,Terhi,finnish
1774,Abtin,persian
1775,Ardalan,persian
1776,Atash,persian
1777,Azar,persian
1778,Bahram,persian
1779,Behdad,persian
1780,Behruz,persian
1781,Bijan,persian
1782,Borna,persian
1783,Caspar,persian
1784,Cyrus,persian
1785,Dareh,persian
1786,Darius,persian
1787,Davood,persian
1788,Eskander,persian
1789,Fazel,persian
1790,Firouz,persian
1791,Gaspar,persian
1792,Kaspar,persian
1793,Kaveh,persian
1794,Khorshed,persian
1795,Khortdad,persian
1796,Murdad,persian
1797,Nard,persian
1798,Persepolis,persian
1799,Rashne,persian
1800,Ruhollah,persian
1801,Sarosh,persian
1802,Siamak,persian
1803,Xerxes,persian
1805,Abtin,persian
1806,Ardeshir,persian
1807,Azarin,persian
1808,Azura,persian
1809,Cyra,persian
1810,Darice,persian
1811,Esther,persian
1812,Fila,persian
1813,Gelsey,persian
1814,Jaleh,persian
1815,Jasmine,persian
1816,Kasra,persian
1817,Kira,persian
1818,Mahdis,persian
1819,Mahsa,persian
1820,Mandana,persian
1821,Midge,persian
1822,Mina,persian
1823,Nickan,persian
1824,Roxanne,persian
1825,Sanam,persian
1826,Vashti,persian
1827,Yasmine,persian
1828,Zeeba,persian
1829,Zohreh,persian
1830,Abhorson,scottish
1831,Adger,scottish
1832,Akira,scottish
1833,Alastair,scottish
1834,Athol,scottish
1835,Caithness,scottish
1836,Calen,scottish
1837,Camden,scottish
1838,Donalbain,scottish
1839,Drummond,scottish
1840,Duffy,scottish
1841,Edme,scottish
1842,Hamish,scottish
1843,Ian,scottish
1844,Kai,scottish
1845,Kameron,scottish
1846,Kane,scottish
1847,Keith,scottish
1848,Kelvin,scottish
1849,Kendrick,scottish
1850,Kenneth,scottish
1851,Kesley,scottish
1852,Kester,scottish
1853,Killian,scottish
1854,Kincaid,scottish
1855,Kyle,scottish
1856,Lachlan,scottish
1857,Laird,scottish
1858,Leith,scottish
1859,Lennox,scottish
1860,Leslie,scottish
1861,Logan,scottish
1862,Lundy,scottish
1863,Macbeth,scottish
1864,Macduff,scottish
1865,Mackinley,scottish
1866,Maclean,scottish
1867,Malcom,scottish
1868,Maxwell,scottish
1869,Mcaffie,scottish
1870,Mccauley,scottish
1871,McKinley,scottish
1872,Morrison,scottish
1873,Murdock,scottish
1874,Nairne,scottish
1875,Nolan,scottish
1876,Norval,scottish
1877,Ogilvy,scottish
1878,Oran,scottish
1879,Paden,scottish
1881,Ailsa,scottish
1882,Ainsley,scottish
1883,Artis,scottish
1884,Bonnie,scottish
1885,Campbell,scottish
1886,Davine,scottish
1887,Dree,scottish
1888,Enya,scottish
1889,Genene,scottish
1890,Ilisa,scottish
1891,Jeanne,scottish
1892,Kelcie,scottish
1893,Kelsi,scottish
1894,Lesley,scottish
1895,Leslie,scottish
1896,Logan,scottish
1897,Mairead,scottish
1898,Malvina,scottish
1899,Nairne,scottish
1900,Rae,scottish
1901,Sile,scottish
1902,Siusan,scottish
1903,Tira,scottish
1904,Vanora,scottish
1905,Casimir,slavic
1906,Duscha,slavic
1907,Evzen,slavic
1908,Gavril,slavic
1909,Ilie,slavic
1910,Jan,slavic
1911,Kostya,slavic
1912,Ludovic,slavic
1913,Marót,slavic
1914,Melik,slavic
1915,Mete,slavic
1916,Miroslav,slavic
1917,Mladen,slavic
1918,Oleg,slavic
1919,Ondrea,slavic
1920,Pavel,slavic
1921,Pavlos,slavic
1922,Pavo,slavic
1923,Peja,slavic
1924,Polixenes,slavic
1925,Polk,slavic
1926,Radman,slavic
1927,Reza,slavic
1928,Vaclav,slavic
1929,Vas,slavic
1930,Vencel,slavic
1931,Vlade,slavic
1932,Vladimir,slavic
1933,Volya,slavic
1934,Wenceslaus,slavic
1935,Wieslav,slavic
1936,Ziven,slavic
1937,Zorro,slavic
1938,Zorya,slavic
1939,Zydrunas,slavic
1941,Anezka,slavic
1942,Casmir,slavic
1943,Darva,slavic
1944,Kami,slavic
1945,Kamila,slavic
1946,Kamilia,slavic
1947,Karayan,slavic
1948,Katerina,slavic
1949,Katia,slavic
1950,Kisha,slavic
1951,Klavdia,slavic
1952,Kostya,slavic
1953,Lada,slavic
1954,Laima,slavic
1955,Lala,slavic
1956,Larya,slavic
1957,Lenka,slavic
1958,Lilia,slavic
1959,Lizina,slavic
1960,Lonna,slavic
1961,Malika,slavic
1962,Milena,slavic
1963,Nadine,slavic
1964,Natala,slavic
1965,Neda,slavic
1966,Neveah,slavic
1967,Nijole,slavic
1968,Ondrea,slavic
1969,Radinka,slavic
1970,Saskia,slavic
1971,Sveta,slavic
1972,Szitakota,slavic
1973,Tana,slavic
1974,Tania,slavic
1975,Tasya,slavic
1976,Teca,slavic
1977,Velika,slavic
1978,Vera,slavic
1979,Viera,slavic
1980,Yarmilla,slavic
1981,Zabel,slavic
1982,Zeljka,slavic
1983,Zora,slavic
1984,Zuzana,slavic
1985,Adney,english
1986,Aldo,english
1987,Aleyn,english
1988,Alford,english
1989,Amherst,english
1990,Angel,english
1991,Anson,english
1992,Archibald,english
1993,Aries,english
1994,Arwen,english
1995,Astin,english
1996,Atley,english
1997,Atwell,english
1998,Audie,english
1999,Avery,english
2000,Ayers,english
2001,Baker,english
2002,Balder,english
2003,Ballentine,english
2004,Bardalph,english
2005,Barker,english
2006,Barric,english
2007,Bayard,english
2008,Bishop,english
2009,Blaan,english
2010,Blackburn,english
2011,Blade,english
2012,Blaine,english
2013,Blaze,english
2014,Bramwell,english
2015,Brant,english
2016,Brawley,english
2017,Breri,english
2018,Briar,english
2019,Brighton,english
2020,Broderick,english
2021,Bronson,english
2022,Bryce,english
2023,Burdette,english
2024,Burle,english
2025,Byrd,english
2026,Byron,english
2027,Cabal,english
2028,Cage,english
2029,Cahir,english
2030,Cavalon,english
2031,Cedar,english
2032,Chatillon,english
2033,Churchill,english
2034,Clachas,english
2036,Addison,english
2037,Alivia,english
2038,Allaya,english
2039,Amarie,english
2040,Amaris,english
2041,Annabeth,english
2042,Annalynn,english
2043,Araminta,english
2044,Ardys,english
2045,Ashland,english
2046,Avery,english
2047,Bedegrayne,english
2048,Bernadette,english
2049,Billie,english
2050,Birdee,english
2051,Bliss,english
2052,Brice,english
2053,Brittany,english
2054,Bryony,english
2055,Cameo,english
2056,Carol,english
2057,Chalee,english
2058,Christy,english
2059,Corky,english
2060,Cotovatre,english
2061,Courage,english
2062,Daelen,english
2063,Dana,english
2064,Darnell,english
2065,Dawn,english
2066,Delsie,english
2067,Denita,english
2068,Devon,english
2069,Devona,english
2070,Diamond,english
2071,Divinity,english
2072,Duff,english
2073,Dustin,english
2074,Dusty,english
2075,Ellen,english
2076,Eppie,english
2077,Evelyn,english
2078,Everilda,english
2079,Falynn,english
2080,Fanny,english
2081,Faren,english
2082,Freedom,english
2083,Gala,english
2084,Galen,english
2085,Gardenia,english
2086,Alvis,old-norse
2087,Borg,old-norse
2088,Gunnar,old-norse
2089,Harper,old-norse
2090,Kirk,old-norse
2091,Leif,old-norse
2092,Njord,old-norse
2093,Olaf,old-norse
2094,Oliver,old-norse
2095,Oscar,old-norse
2096,Ronald,old-norse
2097,Roscoe,old-norse
2098,Sigurd,old-norse
2099,Sindri,old-norse
2100,Skipp,old-norse
2101,Thor,old-norse
2102,Turpin,old-norse
2104,Astrid,old-norse
2105,Deila,old-norse
2106,Gail,old-norse
2107,Harper,old-norse
2108,Kippi,old-norse
2109,Nessa,old-norse
2110,Olive,old-norse
2111,Ronalda,old-norse
2112,Sigrid,old-norse
2113,Thora,old-norse
2114,Valda,old-norse
2115,Hodding,dutch
2116,Kyler,dutch
2117,Maarten,dutch
2118,Rembrandt,dutch
2119,Rodolf,dutch
2120,Roosevelt,dutch
2121,Schuyler,dutch
2122,Sklaer,dutch
2123,Van,dutch
2124,Vandyke,dutch
2125,Wagner,dutch
2126,Zeeman,dutch
2128,Brandie,dutch
2129,Haven,dutch
2130,Hester,dutch
2131,Kaatje,dutch
2132,Kalie,dutch
2133,Liannaka,dutch
2134,Lieneke,dutch
2135,Lonikie,dutch
2136,Nelleke,dutch
2137,Schuyler,dutch
2138,Tryne,dutch
2139,Van,dutch
2140,Nishan,armenian
2141,Ohanna,armenian
2142,Vahe,armenian
2143,Vartan,armenian
2144,Yervant,armenian
2146,Erato,armenian
2147,Karyan,armenian
2148,Keran,armenian
2149,Lucine,armenian
2150,Ohanna,armenian
2151,Seda,armenian
2152,Siran,armenian
2153,Siroun,armenian
2154,Sirvat,armenian
2155,Taleen,armenian
2156,Taline,armenian
2157,Ziazan,armenian
2158,Arthur,welsh
2159,Avon,welsh
2160,Baden,welsh
2161,Barry,welsh
2162,Bowen,welsh
2163,Bronwen,welsh
2164,Cade,welsh
2165,Cedric,welsh
2166,Clyde,welsh
2167,Conway,welsh
2168,Denzel,welsh
2169,Deverell,welsh
2170,Dewey,welsh
2171,Drew,welsh
2172,Dylan,welsh
2173,Emrick,welsh
2174,Floyd,welsh
2175,Fluellen,welsh
2176,Gavin,welsh
2177,Gawain,welsh
2178,Griffin,welsh
2179,Griffith,welsh
2180,Idris,welsh
2181,Kai,welsh
2182,Karey,welsh
2183,Kay,welsh
2184,Keith,welsh
2185,Kenn,welsh
2186,Kenrich,welsh
2187,Mabon,welsh
2188,Main,welsh
2189,Olwen,welsh
2190,Parry,welsh
2191,Pembroke,welsh
2192,Reese,welsh
2193,Rondell,welsh
2194,Sayer,welsh
2195,Sonnagh,welsh
2196,Tathal,welsh
2197,Tathan,welsh
2198,Teulyddog,welsh
2199,Tewdwr,welsh
2200,Trahaearn,welsh
2201,Tudfwlch,welsh
2202,Tudur,welsh
2203,Wren,welsh
2204,Ysgarran,welsh
2206,Bryn,welsh
2207,Carey,welsh
2208,Caron,welsh
2209,Carys,welsh
2210,Ceridwen,welsh
2211,Crisiant,welsh
2212,Dylan,welsh
2213,Dyllis,welsh
2214,Emlyn,welsh
2215,Enid,welsh
2216,Genevieve,welsh
2217,Gladys,welsh
2218,Idelle,welsh
2219,Jensine,welsh
2220,Karrington,welsh
2221,Kordell,welsh
2222,Kynan,welsh
2223,Llewellyn,welsh
2224,Lowri,welsh
2225,Lyneth,welsh
2226,Mabyn,welsh
2227,Mairwen,welsh
2228,Merlyn,welsh
2229,Morgan,welsh
2230,Myfanwy,welsh
2231,Nerys,welsh
2232,Olwen,welsh
2233,Owena,welsh
2234,Reese,welsh
2235,Rhiamon,welsh
2236,Rhiannon,welsh
2237,Rhonwen,welsh
2238,Riannon,welsh
2239,Rowena,welsh
2240,Saeran,welsh
2241,Sian,welsh
2242,Sulwyn,welsh
2243,Taffy,welsh
2244,Teleri,welsh
2245,Telyn,welsh
2246,Tydfill,welsh
2247,Verran,welsh
2248,Vevay,welsh
2249,Wynn,welsh
2250,Cerek,polish
2251,Dobry,polish
2252,Gerik,polish
2253,Jacek,polish
2254,Jarek,polish
2255,Lech,polish
2256,Ludoslaw,polish
2257,Magnar,polish
2258,Mandek,polish
2259,Marcin,polish
2260,Marek,polish
2261,Nelek,polish
2262,Olesia,polish
2263,Ryzard,polish
2264,Tanek,polish
2265,Urjasz,polish
2266,Waclaw,polish
2267,Walenty,polish
2268,Wlod,polish
2269,Wojtek,polish
2270,Zarek,polish
2271,Zygmunt,polish
2273,Danuta,polish
2274,Ewa,polish
2275,Filipina,polish
2276,Jadwiga,polish
2277,Kalene,polish
2278,Karolina,polish
2279,Kasia,polish
2280,Kassia,polish
2281,Klementyna,polish
2282,Ksena,polish
2283,Lilka,polish
2284,Macy,polish
2285,Olesia,polish
2286,Rasine,polish
2287,Tajsa,polish
2288,Tekli,polish
2289,Tesia,polish
2290,Tola,polish
2291,Tolia,polish
2292,Truda,polish
2293,Valeska,polish
2294,Walentya,polish
2295,Wislawa,polish
2296,Zima,polish
2297,Zofia,polish
2298,Zotia,polish
2299,Kem,teutonic
2300,Orinda,teutonic
2301,Paxton,teutonic
2302,Raeburn,teutonic
2303,Renard,teutonic
2304,Roald,teutonic
2305,Sigfried,teutonic
2306,Sigmund,teutonic
2307,Stewart,teutonic
2308,Theodoric,teutonic
2309,Thierry,teutonic
2310,Thurborn,teutonic
2311,Udo,teutonic
2312,Uland,teutonic
2313,Ulf,teutonic
2314,Walden,teutonic
2315,Waldo,teutonic
2316,Wendell,teutonic
2317,Werner,teutonic
2318,Wilbur,teutonic
2319,Willard,teutonic
2320,William,teutonic
2321,Wolfgang,teutonic
2322,Wolfram,teutonic
2323,Yves,teutonic
2325,Magan,teutonic
2326,Minka,teutonic
2327,Orinda,teutonic
2328,Verena,teutonic
2329,Waltraud,teutonic
2330,Willa,teutonic
2331,Yvette,teutonic
2332,Boris,russian
2333,Dobry,russian
2334,Dusan,russian
2335,Egor,russian
2336,Feodore,russian
2337,Fyodor,russian
2338,Gavrie,russian
2339,Gleb,russian
2340,Ivan,russian
2341,Konstantin,russian
2342,Kostas,russian
2343,Kostya,russian
2344,Lesta,russian
2345,Magar,russian
2346,Maksim,russian
2347,Mikhail,russian
2348,Miloslav,russian
2349,Nikhil,russian
2350,Oksana,russian
2351,Olga,russian
2352,Sacha,russian
2353,Sarkis,russian
2354,Semyon,russian
2355,Sergei,russian
2356,Timur,russian
2357,Ulan,russian
2358,Ustin,russian
2359,Vadim,russian
2360,Valeri,russian
2361,Valerian,russian
2362,Vanya,russian
2363,Venedict,russian
2364,Vladilen,russian
2365,Vlas,russian
2366,Wassily,russian
2367,Xenik,russian
2368,Yerik,russian
2369,Yevgeni,russian
2370,Yurchik,russian
2371,Yuri,russian
2373,Akelah,russian
2374,Alexandrite,russian
2375,Anya,russian
2376,Bohdana,russian
2377,Cyzarine,russian
2378,Dusana,russian
2379,Feodora,russian
2380,Jelena,russian
2381,Kisa,russian
2382,Kiska,russian
2383,Leena,russian
2384,Lenya,russian
2385,Lida,russian
2386,Luba,russian
2387,Marinka,russian
2388,Mika,russian
2389,Mila,russian
2390,Misha,russian
2391,Nadie,russian
2392,Nickita,russian
2393,Nika,russian
2394,Oksana,russian
2395,Olga,russian
2396,Olien,russian
2397,Raissa,russian
2398,Sashenka,russian
2399,Savina,russian
2400,Sezja,russian
2401,Sonia,russian
2402,Svetlana,russian
2403,Taneya,russian
2404,Tanya,russian
2405,Tatiana,russian
2406,Vanka,russian
2407,Vanya,russian
2408,Verushka,russian
2409,Vilhemina,russian
2410,Yelena,russian
2411,Yeva,russian
2412,Yula,russian
2413,Zagir,russian
2414,Zasha,russian
2415,Zdebka,russian
2416,Zhenya,russian
2417,Zilya,russian
2418,Imhotep,egyptian
2419,Paki,egyptian
2420,Rahotep,egyptian
2421,Zahur,egyptian
2423,Chione,egyptian
2424,Femi,egyptian
2425,Hekenu,egyptian
2426,Hekt,egyptian
2427,Icess,egyptian
2428,Kanika,egyptian
2429,Khety,egyptian
2430,Lapis,egyptian
2431,Mariasha,egyptian
2432,Nakia,egyptian
2433,Nashwa,egyptian
2434,Nebta,egyptian
2435,Neferu,egyptian
2436,Neith,egyptian
2437,Nile,egyptian
2438,Nubia,egyptian
2439,Ramla,egyptian
2440,Rennefer,egyptian
2441,Sabola,egyptian
2442,Sagira,egyptian
2443,Sahirah,egyptian
2444,Salama,egyptian
2445,Sanura,egyptian
2446,Suma,egyptian
2447,Tauret,egyptian
2448,Tetisheri,egyptian
2449,Aaron,arabic
2450,Abbott,arabic
2451,Abdulaziz,arabic
2452,Abuna,arabic
2453,Adalai,arabic
2454,Adham,arabic
2455,Ahmad,arabic
2456,Akbar,arabic
2457,Al-Ashab,arabic
2458,Ali,arabic
2459,Altair,arabic
2460,Amal,arabic
2461,Amaros,arabic
2462,Amir,arabic
2463,Ankhhaf,arabic
2464,Ara,arabic
2465,Arash,arabic
2466,Arslan,arabic
2467,Asad,arabic
2468,Azad,arabic
2469,Azeem,arabic
2470,Badr,arabic
2471,Basil,arabic
2472,Basim,arabic
2473,Borak,arabic
2474,Boutros,arabic
2475,Coman,arabic
2476,Fahd,arabic
2477,Faisal,arabic
2478,Fakih,arabic
2479,Faraz,arabic
2480,Fatin,arabic
2481,Ferran,arabic
2482,Gamal,arabic
2483,Ghadir,arabic
2484,Ghazi,arabic
2485,Guadalupe,arabic
2486,Habib,arabic
2487,Haddad,arabic
2488,Hadi,arabic
2489,Hafez,arabic
2490,Haidar,arabic
2491,Hakeem,arabic
2492,Hamal,arabic
2493,Hamid,arabic
2494,Hamza,arabic
2495,Harsh,arabic
2496,Harun,arabic
